account_id,user_id,ts,event_name,plan,country,channel,device,seats,revenue
50985,804805,2026-01-25 13:46:00,invite_sent,pro,US,organic,web,4,0.0
51125,805498,2025-12-18 16:01:00,trial_start,trial,,partner,web,16,0.00
50719,803505,2026-01-27 12:57:06,export_csv,trial,US,organic,web,8,0.0
51183,805781,2025-12-14 09:26:00,trial_start,trial,ES,webinar,web,19,0.0
50938,804571,2025-12-06 11:30:00,account_created,pro,GB,partner,web,6,0.0
50456,802241,2025-12-03 15:35:48,report_viewed,starter,CA,organic,web,4,0.0
50944,804609,2026-01-16 15:18:04,login,trial,NL,organic,web,7,0.0
50935,804557,2026-02-10 09:08:00,account_created,trial,US,organic,web,18,0.0
51094,805348,2026-01-01 12:26:47,login,trial,US,organic,web,7,0.0
50425,802075,2026-01-23 13:48:44,login,trial,SE,sales_outbound,web,17,0.0
51155,805644,2026-02-13 11:04:06,login,trial,NL,sales_outbound,web,8,0.0
50747,803633,2026-02-07 15:49:30,report_viewed,starter,US,sales_outbound,web,10,0.0
50179,800877,2025-12-25 08:15:29,login,trial,US,paid_search,web,8,0.0
50598,802925,2026-01-24 13:05:20,login,starter,SE,partner,web,13,0.0
51090,805329,2026-01-10 18:48:22,login,trial,US,paid_search,web,20,0.0
50039,800176,2026-02-18 08:10:37,login,trial,DE,organic,web,10,0.00
50584,802848,2026-02-15 15:48:14, login ,trial,DE,webinar,web,3,0.0
50343,801696,not_a_timestamp,report_viewed,trial,CA,webinar,web,16,0.0
50633,803096,2026-02-01 13:15:45,login,trial,US,sales_outbound,web,3,0.0
50579,802821,2026-02-08 17:23:42,login,trial,US,partner,web,20,0.0
50895,804369,2026-02-09 16:34:00,account_created,pro,FR,partner,web,8,
50340,801681,2025-12-25 12:35:09,login,starter,US,partner,web,6,0.0
51094,805350,2026-01-10 10:33:49,report_viewed,trial,US,organic,web,7,0.0
50749,803648,2026-02-01 08:26:33,export_csv,pro,GB,partner,web,9,0.0
50429,802095,2026-01-09 18:40:43,report_viewed,trial,AU,partner,web,8,0.0
50642,803135,2025-12-19 18:12:05,login,,US,sales_outbound,web,4,0.0
50589,802876,2026-01-27 08:15:43,login,trial,US,partner,web,8,0.0
